id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
1,Office,office,1,10,4012209.019025864,1184797.2928607382
2,Commercial,commercial,1,15,4010875.2966091926,1174561.9547870513
3,Arcivescovado,office,4,40,4007664.907533813,1176698.1534371471
4,Office,office,1,10,4009226.759383901,1177313.2735244622
5,Office,office,1,10,4007609.72202089,1176896.9410272976
6,Palazzo Telecom,office,6,60,4011332.769128847,1175798.9105958997
7,Ca' Brutta,commercial,6,90,4009336.745074577,1177075.0765515922
8,Commercial,commercial,6,90,4009180.4088281617,1177091.8078979247
9,Armani Building,commercial,1,15,4008600.7362892386,1176808.5193545856
10,Commercial,commercial,9,135,4010174.8225260074,1177286.5923176233
11,Ex Palazzo delle Poste,office,1,10,4010478.812983744,1178917.8145075764
12,Danone,office,5,50,4011225.0416683843,1175861.206698893
13,Commercial,commercial,4,60,4008898.6515500736,1178902.5197494482
14,Commercial,commercial,3,45,4011709.7033993755,1175694.2878411117
15,Office,office,4,40,4011774.7666784916,1175687.0181413162
16,Commercial,commercial,8,120,4009709.77913722,1177413.2943423558
17,Office,office,1,10,4010694.673290032,1180833.6657192083
18,Commercial,commercial,3,45,4011039.107031161,1180817.8820917674
19,Commercial,commercial,3,45,4011350.530006346,1179961.6523180206
20,Office,office,1,10,4011778.0765674333,1175490.304666426
21,Office,office,1,10,4007419.3222010145,1178193.3761373474
22,Commercial,commercial,6,90,4009807.4655234264,1176308.1852685763
23,Commercial,commercial,1,15,4010366.7356733647,1182415.4577334484
24,Commercial,commercial,1,15,4007369.590337237,1176246.6184782982
25,Commercial,commercial,1,15,4007537.3785486305,1176544.810302379
26,Palazzo Meroni,commercial,6,90,4007294.231994332,1176191.6447941791
27,Commercial,commercial,1,15,4012112.1870170776,1174530.4135021823
28,Office,office,2,20,4012052.745817514,1174814.71772518
29,Commercial,commercial,3,45,4012060.968996221,1174318.8559259267
30,Palazzo della Veneranda Fabbrica del Duomo,office,1,10,4007797.0005959626,1176853.4195448002
31,Casa Savonelli,office,5,50,4008119.3249060316,1175898.5149264026
32,Office,office,4,40,4008134.8295491734,1176268.0221255464
33,Commercial,commercial,5,75,4008031.067276091,1176275.6404417977
34,Palazzo dell'Inps,office,4,40,4007432.4217457054,1176086.9830729715
35,Office,office,1,10,4008036.3962698234,1175922.4273963685
36,Office,office,1,10,4008014.5262970543,1175632.79905485
37,Palazzo del Banco di Roma,office,4,40,4007909.4825585233,1175583.2510227552
38,Office,office,4,40,4008011.3553578644,1175175.625860263
39,Commercial,commercial,1,15,4007965.080688944,1173508.477630558
40,Commercial,commercial,1,15,4007667.744566513,1176363.7962678464
41,Office,office,4,40,4006995.00097371,1175557.2281260362
42,Office,office,6,60,4007076.5787092973,1175508.3932881807
43,Office,office,4,40,4006744.307041679,1175627.4286413593
44,Office,office,5,50,4008073.7991955783,1175756.280832687
45,Office,office,4,40,4007773.639838471,1175269.180842812
46,Office,office,5,50,4007903.3514803895,1176010.988750798
47,Polizia Locale – Area Procedure Sanzionatorie e Traffico,office,1,10,4006062.9669847754,1179061.4350727214
48,Commercial,commercial,1,15,4005937.417780776,1180113.5388357483
49,Commercial,commercial,2,30,4012582.9888324765,1174901.3097117697
50,Office,office,1,10,4012040.5072911954,1181591.3690655488
51,Milano 67,office,1,10,4014050.234591464,1182098.2615912822
52,Commercial,commercial,5,75,4008019.7691913964,1176362.9862904048
53,V Palazzo Uffici ENI,office,1,10,4001617.6634411844,1184096.7148325762
54,Commercial,commercial,1,15,4006611.298810154,1173285.6394902973
55,Commercial,commercial,1,15,4005265.3749780217,1171978.5270288878
56,Office,office,1,10,4005675.277947368,1172605.161638628
57,Commercial,commercial,1,15,4007810.1799345873,1171722.087441927
58,Commercial,commercial,4,60,4010188.6060900777,1170996.60907017
59,Office,office,6,60,4008119.140093508,1175829.297727612
60,Office,office,1,10,4009409.750077586,1176296.9923523865
61,Commercial,commercial,6,90,4007575.7534557167,1176307.9478469742
62,ASL città di Milano,office,1,10,4007094.5348892175,1176092.6909660574
63,Office,office,8,80,4007131.6427181223,1176289.4626485624
64,Commercial,commercial,7,105,4009938.849880604,1176492.9111862609
65,Office,office,1,10,4013607.341011303,1179667.663894842
66,Office,office,1,10,4010469.251008129,1182424.5362440904
67,Westin Palace,commercial,1,15,4009527.589343236,1177802.4460816719
