id,nome,tipo_edificio,coord_X,coord_Y,capienza
2192,Self Service Valentina,restaurant,4006426.1125271427,1166637.1352268269,40
2193,Burger King,fast_food,4013102.1797972615,1169344.375801701,35
2194,Bar del Capolinea,bar,4013454.8271922744,1176942.0289828163,20
2195,Innvillà,bar,4010741.824658806,1168456.1893568751,20
2196,La Scighera,restaurant,4013079.314838261,1173290.8171834857,40
2197,Santeria Social Club,pub,4005520.994000698,1175956.7695374563,30
2198,Chef Express,restaurant,4013756.222652359,1180131.1358355926,40
2199,Ristorante Ratanà,restaurant,4010488.012365063,1177065.9904775962,40
2200,Fast_food,fast_food,4010385.358474235,1177410.3567234785,35
2201,Garage Italia Milano,restaurant,4012127.1068349476,1170955.6850840433,40
2202,Wiener Haus Milano,restaurant,4009973.054661763,1176658.532299935,40
2203,Miyama,restaurant,4010769.852733074,1165533.3898615267,40
2204,McDonald's,fast_food,4003066.9276760193,1185319.0683638582,35
2205,Istanbul,fast_food,4004921.2234043935,1162488.2215694778,35
2206,Los Locos,bar,4010419.8472554768,1166440.8897169721,20
2207,Labriola,bar,4013276.241259034,1165606.8165435472,20
2208,McDonald's,fast_food,4004814.943225295,1161981.5859683722,35
2209,Restaurant,restaurant,4006052.006679816,1166772.9705233513,40
2210,Mangiari Di Strada,fast_food,4006120.1703708386,1166891.5865027579,35
2211,Bar,bar,4010266.086314087,1176663.5245409277,20
2212,Restaurant,restaurant,4012493.0854691477,1170068.106350423,40
2213,Il chiosco di Valeria,fast_food,4007918.730977626,1181572.9605280457,35
2214,Antica Trattoria Monluè,restaurant,4006139.0259971907,1184617.5657414102,40
2215,SelfService,restaurant,4011849.4241445973,1182073.6875322224,40
2216,PoliFood,restaurant,4008760.535727646,1182245.7517418843,40
2217,Colorado,pub,4013134.7245639027,1169223.5942117828,30
2218,Hotel Ristorante La Rampina,restaurant,4012637.148802278,1189146.0585001914,40
2219,Kick Off,restaurant,4002646.421189277,1186118.9668287986,40
2220,Antico albergo,restaurant,4008416.919994206,1194436.7877340137,40
2221,Ristorante Nara,restaurant,4009559.5832616407,1178253.0811031475,40
2222,Castle Rock Cafè,pub,4015113.128694062,1167526.5685810216,30
2223,Ristorante Self Service,restaurant,4004695.5113236215,1161191.1962028972,40
2224,Cascina Martesana,pub,4012339.195156789,1181881.0476800133,30
2225,McDonald's,fast_food,4004360.162854537,1176403.2036433327,35
2226,"Chiringuito ""La Villetta"" Idroscalo",bar,4007055.947615744,1188825.5307017511,20
2227,Trattoria dell'Ombra,restaurant,4013088.6520373807,1184941.7686083508,40
2228,Lucky Seven,restaurant,4004289.123420398,1177304.344399301,40
2229,Km.0,restaurant,4004289.169037443,1159273.7373087176,40
2230,Bar,bar,4003591.902033037,1167320.4965768477,20
2231,L'isola di Wight,restaurant,4003783.83508765,1168069.1111477877,40
2232,La Fabbrica dei Sapori,restaurant,4003654.0729610343,1166691.6391054282,40
2233,El Jadida,restaurant,4005024.546540143,1175928.85955898,40
2234,LOFT pizza e grill,restaurant,4005094.154082698,1175923.8775684857,40
2235,Akropolis,restaurant,4010391.534021475,1181570.4532549803,40
2236,La Chiesetta,pub,4010258.869339208,1174442.5877454812,30
2237,Marvy,fast_food,4013126.6441704757,1172225.2338390322,35
2238,Tutto Giusto,restaurant,4010183.9567449368,1181502.9946072015,40
2239,Focacceria,fast_food,4013187.674330326,1173513.0009992942,35
2240,Garden Café,restaurant,4003988.8607079545,1160221.0621324533,40
2241,Antica trattoria Bagutto,restaurant,4004466.717977034,1185208.7309009216,40
2242,Roadhouse,restaurant,4004334.6068768855,1160346.9291138167,40
2243,Fast_food,fast_food,4007513.379880139,1187170.6715731104,35
2244,7Luppoli,restaurant,4004566.031238568,1177934.8254268742,40
2245,Tropi&Co,restaurant,4004604.017303151,1177926.6959250497,40
2246,Haru Sushi,restaurant,4010135.017509786,1173552.0665412634,40
2247,4cento,restaurant,4003936.9670776143,1176527.3075544678,40
2248,Xier 3,restaurant,4006386.7131419806,1164823.6584419883,40
2249,Birrificio La Ribalta,pub,4013453.7392586838,1174835.498591928,30
2250,El Galet,restaurant,4007896.1243743314,1184849.952793341,40
2251,Jindalai,restaurant,4010755.4526650505,1179615.5223355836,40
2252,Voiture Cafè,bar,4009796.0444865623,1192686.5021455623,20
2253,Fast_food,fast_food,4008378.422613959,1175529.8311196098,35
2254,McDonald's,fast_food,4010025.593522812,1179786.4518196145,35
2255,Jubin,restaurant,4004756.1957557113,1177125.1630764534,40
2256,Circolo ex Combattenti e Reduci,bar,4010169.6800680314,1175580.7195229966,20
2257,Fast_food,fast_food,4013051.715871098,1172872.9181760596,35
2258,La Piadineria,fast_food,4015251.0102072754,1171952.814595711,35
2259,YunQuick,restaurant,4015268.075881275,1171941.0430915877,40
2260,Flunch,restaurant,4015312.9837033628,1171842.3364168697,40
2261,Acquacheta,restaurant,4013131.180285291,1181182.0121821514,40
2262,Fast_food,fast_food,4004620.5488988394,1174787.5070052193,35
2263,Cibiamo,fast_food,4015339.605761322,1171887.9938777266,35
2264,McDonald's,fast_food,4015361.1228071954,1171828.974028769,35
2265,Al Grisea,restaurant,4010634.722300505,1165981.7621213668,40
2266,La Contadina,restaurant,4010579.8087175013,1166021.8541289761,40
2267,Shambala,restaurant,4002320.7180583077,1177768.6244421387,40
2268,Monte Stella,restaurant,4011550.4679104825,1169179.1831978583,40
2269,Il Bar del Centro Parco,bar,4009990.4653302007,1189154.6795828564,20
2270,Bar,bar,4011299.202738668,1185597.7423479515,20
2271,GUD Milano CityLife,restaurant,4009996.870746968,1171811.5038484302,40
2272,McDonald's,fast_food,4011525.1990954964,1170554.425351649,35
2273,La Brasserie de Milan,restaurant,4007900.052035055,1171876.9064231936,40
2274,Ancora,restaurant,4007541.081046556,1174514.4654283624,40
2275,La Pazzeria,pub,4008138.071496945,1169789.5045764716,30
2276,Pogue Mahone's,pub,4005965.823960627,1178023.909450548,30
2277,La Mela Bianca,restaurant,4011217.122049042,1173582.1193962782,40
2278,Restaurant,restaurant,4010642.266498161,1183005.5293396772,40
2279,NU,restaurant,4010606.822263573,1183686.6178802208,40
2280,Da Marco,restaurant,4011294.566756322,1180805.680763437,40
2281,Trattoria Toscana,restaurant,4003820.7409733576,1169612.988320894,40
2282,Radetzky Café,pub,4009703.928275628,1175974.1965240273,30
2283,Scott Duff,pub,4009910.999534692,1175763.6275064705,30
2284,Baladin Milano,pub,4009818.70819302,1176487.5658798623,30
2285,Volta Street,restaurant,4009731.5629085866,1175874.0959619884,40
2286,Oracle,restaurant,4009614.821908009,1175840.3614983035,40
2287,Bomaki,restaurant,4009682.6086014695,1175869.7825610228,40
2288,Denzel,restaurant,4008354.533804666,1172039.8991938534,40
2289,Ai Muciaccia,restaurant,4007720.574807599,1172120.2682920916,40
2290,Restaurant,restaurant,4008028.8535181186,1172304.464060619,40
2291,The Old Fox Pub,pub,4007390.3849242902,1173921.2951702678,30
2292,McDonald's,fast_food,4008660.8021196183,1172083.5630471453,35
2293,Chicken House,restaurant,4005570.619717038,1171745.232773703,40
2294,Nicola Cavallaro,restaurant,4006126.9003193234,1171711.621439423,40
2295,Piad'Or - Piadine e non solo,fast_food,4008723.3609393095,1171649.0956626895,35
2296,Il Panino Giusto,fast_food,4008596.4782193857,1172640.969542341,35
2297,Marghera 37,pub,4008619.373407273,1171669.22525268,30
2298,McDonald's,fast_food,4011792.225233792,1176160.7461655755,35
2299,Da Berti,restaurant,4010872.5202296586,1177570.8480005516,40
2300,Trattoria Casa Fontana - 23 risotti,restaurant,4011484.1733892965,1177879.7280220108,40
2301,Il gatto e la volpe,pub,4011629.292071768,1177836.2478470954,30
2302,Tequila,pub,4011662.0381202055,1177703.4391499283,30
2303,Nordest,pub,4011033.4821324814,1176584.844003711,30
2304,Tempi moderni,pub,4013946.1560267145,1179364.959183591,30
2305,A Casa Mia Café,restaurant,4013989.066352012,1179287.909588356,40
2306,Panino Giusto,fast_food,4006568.525102094,1174979.9738314473,35
2307,a Riccione,restaurant,4011601.0131894113,1177557.5075334737,40
2308,Il Tombino,pub,4007881.1454437557,1171664.9895374712,30
2309,McDonald's,fast_food,4001993.106859316,1183604.9193668875,35
2310,Hop,pub,4007064.885649478,1178467.8014789773,30
2311,Daniel,restaurant,4009680.1217219243,1176514.529303713,40
2312,Wizard,pub,4006345.659652987,1173631.248344696,30
2313,Le Fontanelle,pub,4006426.872762417,1174718.2738745653,30
2314,Officina 12,restaurant,4006482.1109367856,1174416.7646533067,40
2315,Fabbrica,restaurant,4006393.8282778542,1173635.1159906515,40
2316,Bar Magenta,pub,4008202.2246128423,1174625.263978235,30
2317,Ristorante Pizzeria Bande Nere,restaurant,4008150.9185360176,1169515.102224403,40
2318,Rifugio Delicatessen,restaurant,4010847.938406646,1173912.7439899817,40
2319,Club Decò,bar,4010960.691762425,1173784.1055785748,20
2320,Il Giardino della Birra,restaurant,4008046.70298601,1183267.368347008,40
2321,Matricola,pub,4008896.6105481866,1180817.8116461125,30
2322,Osteria Ambrosiana,restaurant,4014529.2026968636,1177294.2285520632,40
2323,Blue Ginger,restaurant,4006506.3767693983,1171828.7679620176,40
2324,Sohos,pub,4009723.1338105854,1178099.1773447918,30
2325,Outback café,pub,4009738.2493445934,1178109.38766698,30
2326,Carmel,restaurant,4007430.8277622582,1169540.457012781,40
2327,Palayok - Cucina Filippina,restaurant,4006433.677842959,1169677.3831820618,40
2328,Camarillo Brillo,pub,4005937.9907885357,1170069.4144429092,30
2329,Bar Venere,bar,4008525.476849143,1181574.6001549643,20
2330,Tin Whistle,pub,4005980.0239915475,1170442.123730769,30
2331,Lo Scoglio sul Naviglio,restaurant,4005977.75360286,1170418.4045228844,40
2332,Taberna Vasca,restaurant,4005951.649779187,1170206.4684530175,40
2333,Batik,pub,4006334.4959258502,1179690.8098436797,30
2334,Pizzeria Piccola Ischia,restaurant,4006259.0373605415,1179620.1330055005,40
2335,Kapuziner Platz,restaurant,4006600.8333684187,1178331.85684732,40
2336,Murphy's Pub,pub,4008079.7306631017,1181343.5826346602,30
2337,Le Coq,pub,4008196.7415376804,1181202.551407089,30
2338,Frida,pub,4010981.7825051774,1176357.951207259,30
2339,Fatto Bene Burger,restaurant,4008680.3585821283,1172087.298156693,40
2340,Mom,pub,4006953.4794984213,1178425.093546467,30
2341,McDonald's,fast_food,4010177.2474737596,1178549.9714352177,35
2342,Hashi,restaurant,4011042.8148765163,1175840.2052246868,40
2343,Zio Provolone,restaurant,4006064.492636723,1166779.8613975907,40
2344,The Manhattan,pub,4009795.021909461,1175863.8243916447,30
2345,Titanic,restaurant,4005725.363644284,1171218.9086471598,40
2346,Burger King,fast_food,4009641.4508554223,1179259.3334482063,35
2347,Mulligan's,pub,4011296.577190707,1173898.2937941581,30
