id,nome,tipo_edificio,coord_X,coord_Y,capienza
7980,Facoltà di Scienze Agrarie e Ambientali,university,4008962.9548478983,1181354.6650598196,350
7981,Istituto Milano scuola paritaria,school,4010653.6723409994,1180453.469845503,200
7982,I.T.C. Carlo Tenca,school,4009883.018751391,1175522.118226299,200
7983,"Istituto Comprensivo Statale ""Gino Capponi""",school,4005688.479633926,1172109.1308349224,200
7984,"Scuola Secondaria di 1° Grado ""Antonio Gramsci""",school,4005734.8534476184,1172102.1936411965,200
7985,Università degli Studi di Milano,university,4007500.4351608357,1175980.3250793694,350
7986,School,school,4005887.749337619,1175278.6878701968,200
7987,School,school,4005923.1750811823,1175401.365906181,200
7988,Scuola Elementare Bocconi,school,4005945.943029067,1176415.8620533908,200
7989,Fondazione Paolo Grassi,school,4005986.5342989075,1176564.0411898445,200
7990,Biblioteca,library,4005891.0175039656,1176117.65094203,60
7991,Scuola Superiore d'Arte Applicata del Castello Sforzesco,school,4010008.6481061345,1174477.8521107335,200
7992,Biblioteca Nazionale Braidense,library,4008886.5395289757,1176385.9146728301,60
7993,BCL – Biblioteca Campus Leonardo,library,4009338.067941534,1181301.4521132116,60
7994,Biblioteca Ambrosiana,library,4007815.839154894,1175923.371778542,60
7995,"Scuola Media Statale ""Giuseppe Ungaretti""",school,4010435.6682091774,1177847.5547757482,200
7996,"Scuola Primaria Statale ""Luigi Galvani""",school,4010417.8317194083,1178033.5294195956,200
7997,Scuola Monforte,school,4009503.172948104,1181689.1929811467,200
7998,Biblioteca comunale rionale Accursio,library,4011805.3714787783,1171174.8426501777,60
7999,Biblioteca Comunale Rionale Venezia,library,4008966.694402294,1178917.5841041591,60
8000,Biblioteca Vigentina,library,4006510.828839371,1177090.5661600037,60
8001,Istituto Orsoline di San Carlo,school,4007695.1334357397,1174433.990052906,200
8002,Scuola Svizzera,school,4009606.254257633,1177121.7678511916,200
8003,Scuola Professionale Femminile Laura Solera Mantegazza,school,4007263.950261732,1174330.951806363,200
8004,School,school,4006772.6256882814,1177827.0286964527,200
8005,Scuola primaria Ferrante Aporti,school,4010547.869300947,1173866.927928357,200
8006,Scuola Primaria F. Conforti - B. Avogadro,school,4006603.6654889304,1174207.0045096718,200
8007,International Kid's School,school,4006494.3427072107,1177844.7796816071,200
8008,Istituto Vittorio Colonna,school,4007696.223981431,1178123.7826932105,200
8009,Istituto Marangoni,school,4008210.9940046426,1177029.4280846124,200
8010,Maka language consulting,school,4006316.860419614,1175081.921457164,200
8011,Università Cattolica del Sacro Cuore,university,4008060.930528096,1173770.2859667544,350
8012,Accademia di belle arti di Brera,university,4008847.038836181,1176247.9088943733,350
8013,Biblioteca di via Senato,library,4008605.7190472237,1177410.6805020203,60
