id,nome,tipo_edificio,coord_X,coord_Y,capienza
6253,Lidl,supermarket,4005817.405109405,1171777.899982429,50
6254,Esselunga di Piazza Ovidio,supermarket,4006443.784042023,1183069.7891142317,50
6255,Conad Bovisasca,supermarket,4014760.7120310096,1172528.2539367708,50
6256,Esselunga di via Rubattino,supermarket,4008866.6335086743,1183943.523575273,50
6257,Esselunga,supermarket,4013825.2206909214,1170326.416408347,50
6258,Simply,supermarket,4009135.2354848906,1168525.8468338645,50
6259,Mercato Comunale,supermarket,4009374.6544937054,1169802.874194409,50
6260,Esselunga di Via Novara,supermarket,4009702.4456862016,1167678.07658788,50
6261,Esselunga di Buccinasco,supermarket,4004849.9079916403,1167236.1120826004,50
6262,Ragno,clothes,4004749.7804209837,1162197.788288455,30
6263,Esselunga di Via Solari,supermarket,4006970.9692054274,1172666.3102866246,50
6264,Supermarket,supermarket,4005715.258183497,1167048.0942728196,50
6265,Esselunga,supermarket,4007855.959592475,1171954.3971017494,50
6266,U2,supermarket,4010917.060898251,1188946.8199838733,50
6267,Esselunga,supermarket,4012163.6545596365,1177541.5395355327,50
6268,Carrefour,supermarket,4007575.1904356014,1181470.3229845567,50
6269,In'S mercato,supermarket,4011137.3137448686,1181568.6010479056,50
6270,Esselunga,supermarket,4010366.8971419795,1186849.3477305844,50
6271,Carrefour Market,supermarket,4012304.1063681557,1181012.7739204085,50
6272,Esselunga,supermarket,4014519.90839838,1178765.533181225,50
6273,LIDL,supermarket,4012319.174055108,1176621.88505417,50
6274,Esselunga,supermarket,4012494.500830401,1160802.276547043,50
6275,Lidl,supermarket,4002689.099489908,1185681.9967003155,50
6276,Penny Market,supermarket,4011782.101295276,1182598.097621121,50
6277,Esselunga di Via Feltre,supermarket,4010624.6596634313,1183172.3524765156,50
6278,Eurospin,supermarket,4010612.616328139,1189094.1084473855,50
6279,Centro Commerciale Tre Castelli,supermarket,4005536.306903079,1169196.9049652184,50
6280,Esselunga di Viale Vigliani,supermarket,4010436.5450080414,1170967.9192263791,50
6281,Esselunga,supermarket,4014185.159422679,1174957.1918363099,50
6282,Carrefour Market,supermarket,4007353.5470513203,1169432.5253673736,50
6283,Carrefour Market,supermarket,4004756.578853301,1171967.8902843767,50
6284,Carrefour Market,supermarket,4004077.0074771666,1173480.2004484544,50
6285,Carrefour Express,supermarket,4013140.7576666484,1165823.656233935,50
6286,Esselunga di Via Ripamonti,supermarket,4005093.8593174834,1177258.1914204399,50
6287,Conad,supermarket,4004087.068180617,1178157.515456275,50
6288,Esselunga,supermarket,4012283.986863558,1175680.7965861307,50
6289,Pam,supermarket,4007228.3534629727,1170903.2778459217,50
6290,Lidl,supermarket,4005762.4871148276,1172451.7343786443,50
6291,Carrefour Market,supermarket,4004613.58855427,1179813.4785771777,50
6292,Esselunga sottocasa Pezzotti,supermarket,4004758.3271386833,1175364.4342557888,50
6293,Lidl,supermarket,4004548.5223094965,1177603.7937452155,50
6294,Coop,supermarket,4001814.216164526,1190869.2887162678,50
6295,Carrefour Market,supermarket,4008344.204158638,1165160.7605590387,50
6296,Conad,supermarket,4012137.082275617,1173456.7743499002,50
6297,Esselunga,supermarket,4010910.4646789995,1173535.663680414,50
6298,Coop,supermarket,4010605.480511412,1163546.9004479686,50
6299,Carrefour Market,supermarket,4003965.5406695455,1179439.5141394227,50
6300,Lidl,supermarket,4009302.3670102647,1183150.8964333439,50
6301,Kiabi,clothes,4004777.602952114,1161679.4995272618,30
6302,Esselunga SottoCasa,supermarket,4012527.400099204,1172198.3984602157,50
6303,Dpiù discount,supermarket,4006030.6245592823,1163369.3660010793,50
6304,Il Gigante,supermarket,4006518.5610409346,1163556.3963172429,50
6305,Esselunga,supermarket,4007521.938010541,1173616.527860632,50
6306,Coop,supermarket,4014470.54461188,1177283.9266669091,50
6307,Penny Market,supermarket,4003930.690123558,1166472.4694212321,50
6308,Conad,supermarket,4012270.167885396,1183338.3591658224,50
6309,Carrefour Market,supermarket,4008662.712832397,1164187.7933548253,50
6310,Mercato comunale,supermarket,4004093.1989670666,1174527.8604210843,50
6311,Penny Market,supermarket,4005089.6270540324,1173115.512191249,50
6312,Maxi Simply,supermarket,4013189.1003380497,1182099.8240959845,50
6313,Carrefour Market,supermarket,4012603.8442213503,1168420.9903314803,50
6314,MD,supermarket,4015352.70979316,1170183.8218230957,50
6315,Esselunga,supermarket,4002540.1082040183,1174337.007250557,50
6316,Carrefour Market,supermarket,4003923.197101464,1177589.506331039,50
6317,Iperdì,supermarket,4004199.555372945,1160208.052028081,50
6318,Conbipel,clothes,4004712.150999547,1161225.6650181753,30
6319,Cash&Carry Alta Sfera,supermarket,4009630.6591228833,1185674.8997355462,50
6320,Carrefour Market,supermarket,4004840.6937963422,1183037.2415426772,50
6321,Esselunga,supermarket,4006928.6194819375,1180229.3316954747,50
6322,Coop di Via Fratelli Zoia,supermarket,4009602.083192102,1166116.714933884,50
6323,Future Food District,supermarket,4015637.77011916,1166135.4623412914,50
6324,Esselunga,supermarket,4013488.3558568214,1183854.0762750555,50
6325,Carefour Express,supermarket,4004642.5022264672,1171536.098118936,50
6326,Conad City,supermarket,4005356.412677074,1171506.9321405867,50
6327,Eurospin,supermarket,4008019.0957294097,1164515.2735593815,50
6328,Carrefour Express,supermarket,4005551.891658532,1170848.7216400688,50
6329,Bio C Bon,supermarket,4006746.1824891223,1172410.6367729418,50
