id,nome,tipo_edificio,coord_X,coord_Y,capienza
5419,Palazzo Reale,museum,4007715.6857291204,1176617.5579712803,50
5420,Park,park,4005187.219903174,1167584.6570489602,150
5421,Museo Civico di Storia Naturale,museum,4008779.634952146,1178002.7061538154,50
5422,Museo di Fondazione Arnaldo Pomodoro,museum,4006926.117271685,1172605.8401395867,50
5423,Museo Civico Archeologico,museum,4008161.8038433483,1175001.0146128472,50
5424,Museo d'arte e scienza,museum,4008747.880475992,1175500.643423272,50
5425,Park,park,4010607.247415081,1188539.2000065374,150
5426,Park,park,4013298.0245112726,1165731.1893231578,150
5427,Giardino Marcello Candia,park,"[-136524.8740291514, 2874227.26695437]","[1023764.8529247909, 5504254.687360781]",150
5428,Park,park,4013707.1042842856,1171191.221840689,150
5429,Park,park,4012702.1137161525,1171882.869553782,150
5430,Park,park,4012116.9376632757,1178205.1527758923,150
5431,Park,park,4014507.1950451005,1171974.9432215092,150
5432,Park,park,4013241.059471803,1184614.982029835,150
5433,Park,park,4012545.4311167444,1172770.0462625178,150
5434,Giardino Pierluigi Torregiani,park,4013150.747488717,1174252.4888735232,150
5435,Park,park,4014895.9680306725,1177710.3550577268,150
5436,Park,park,4008792.58416249,1182436.5137659553,150
5437,Park,park,4015072.9098515413,1170499.5805720228,150
5438,Giardino Aldo Protti,park,4011163.2427845467,1177828.4883635782,150
5439,Park,park,"[-138301.19613028388, 2875698.0700819427]","[1022050.7988072293, 5510955.73005079]",150
5440,Park,park,4002285.8355324767,1184024.154106015,150
5441,Park,park,4003746.6778366556,1177203.1682507417,150
5442,Park,park,4003892.5234653265,1179255.6843080933,150
5443,Park,park,4012856.1070634075,1171446.5421808225,150
5444,Mudec,museum,4006591.655912602,1172624.664625794,50
5445,Park,park,4004241.249350293,1163046.693923941,150
5446,Park,park,4012973.1672917055,1181035.1218387801,150
5447,Parco Segantini,park,4005577.6043360666,1173703.3440268633,150
5448,Parco Patellani,park,4006248.194128495,1164457.3786896018,150
5449,Giardino della Fondazione Catella,park,4010443.566593724,1177044.1541234371,150
5450,Casa di Alessandro Manzoni,museum,4008272.486005204,1176756.4385829228,50
5451,Triennale Design Museum,museum,4009068.419253518,1174532.981548239,50
5452,Piazza Leonardo da Vinci,park,"[-135318.28963266104, 2875183.1573535665]","[1024763.8087667136, 5508613.035690737]",150
5453,Parco del Fanciullo,park,4010135.087298523,1165911.3260381292,150
5454,Parco Biblioteca degli Alberi,park,"[-139036.19485594716, 2875429.2782272017]","[1021320.4568922075, 5509657.0805290695]",150
5455,Parco Sempione,park,4008805.495443468,1174773.50401006,150
5456,Parco Monluè,park,4005808.0725881956,1185051.3466711259,150
5457,Park,park,4007167.238943319,1170796.8656663308,150
5458,Park,park,4006796.835986136,1171701.2988504763,150
5459,Park,park,4007774.220237542,1171189.4713942807,150
5460,Park,park,4006989.714650303,1171680.46359322,150
5461,Giardini Valentino Bompiani,park,4009803.6406037067,1173420.181675545,150
5462,Giardino Yitzhak Rabin,park,4007621.369782804,1171089.9281735928,150
5463,Giardini Guido Vergani,park,4009103.2439964446,1173007.9208598132,150
5464,Parco Raffaele Ciriello,park,4007509.67778148,1171761.7844456262,150
5465,Piazza Po,park,4008017.832671944,1172320.8803346609,150
5466,Park,park,4007415.8552520373,1170429.906276729,150
5467,Piazza Carlo Irnerio,park,4007953.6958279107,1171694.5578417287,150
5468,Piazza Vesuvio,park,4007605.1792545365,1172591.5245482353,150
5469,Parco di via Dezza,park,4007534.401405583,1173032.3196024902,150
5470,Parco di via Dezza,park,4007926.5342333545,1172490.6167159446,150
5471,Parco di via Dezza,park,4007637.220525405,1172772.6233073638,150
5472,Park,park,4007866.49812207,1170453.0950692834,150
5473,Park,park,4007787.5920504206,1171175.727329843,150
5474,Giardini Don Luigi Giussani,park,4007222.789563008,1173587.151721511,150
5475,Giardino Firenze,park,4011478.015223356,1172922.574143066,150
5476,Park,park,4007008.309094105,1170185.7632090359,150
5477,Parco Vittorio Formentano,park,4007266.924703251,1179572.815727805,150
5478,Giardini pubblici Indro Montanelli,park,4008873.072142089,1177398.9581618113,150
5479,Parco delle Cave,park,4009655.3873294997,1164187.7942350109,150
5480,Parco Montestella,park,4011871.894106298,1170076.2793533425,150
5481,Parco Aldo Aniasi,park,4010361.3656700943,1166550.0716660449,150
5482,Park,park,4012180.1749463836,1168629.222760848,150
5483,Giardini in Memoria dei Caduti di Nassiriya,park,4012337.431682515,1168470.7340203188,150
5484,Parco Giovanni Testori,park,4012850.947307532,1172242.257949671,150
5485,Giardinetti di piazza Massari,park,4011685.2348074676,1177787.9244108086,150
5486,Park,park,4011966.473182909,1178051.6449615296,150
5487,Giardino Alberto Moravia,park,4007839.0602040375,1167999.6320036242,150
5488,Park,park,4006967.2762153624,1168880.2817496895,150
5489,Park,park,4011984.345192132,1179026.2813874837,150
5490,Giardino Wanda Osiris,park,4012488.343856819,1177593.8287066303,150
5491,Parco Trotter,park,4011389.56231388,1180798.3144570568,150
5492,Parco Ca' Granda,park,4012943.7355743167,1178158.8010225259,150
5493,Park,park,4012310.042541409,1177491.7258375704,150
5494,Park,park,4012440.8167209374,1176777.6969638928,150
